Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Joe Harris,SG,26.0,78.0,1975.0,13.3,0.634,10.2,7.0,0.8,0.9,12.0,16.6,3.0,0.9,4.0,0.097,0.7,-0.6,0.1,1.0,2018
Brandon Ingram,SF,20.0,59.0,1975.0,13.8,0.536,17.7,8.5,1.8,1.1,14.4,22.2,1.0,1.8,2.8,0.068,-0.9,-0.3,-1.2,0.4,2018
John Henson,C,27.0,76.0,1970.0,15.7,0.582,8.6,15.3,4.7,1.1,12.8,15.0,2.8,2.2,4.9,0.12,-1.0,0.1,-0.9,0.5,2018
Blake Griffin,PF,28.0,58.0,1970.0,19.6,0.544,28.1,12.0,0.8,1.0,12.6,28.9,3.2,1.8,4.9,0.12,3.6,-0.2,3.4,2.7,2018
Blake Griffin,PF,28.0,33.0,1139.0,20.4,0.553,25.6,12.6,0.7,1.3,12.8,29.3,2.0,1.0,3.0,0.125,3.8,-0.4,3.4,1.6,2018
Blake Griffin,PF,28.0,25.0,831.0,18.5,0.531,31.5,11.0,1.0,0.7,12.4,28.4,1.1,0.8,1.9,0.113,3.4,0.1,3.4,1.1,2018
Markieff Morris,PF,28.0,73.0,1968.0,13.2,0.566,11.0,11.8,1.7,1.4,14.6,19.5,1.2,2.1,3.3,0.08,-1.3,0.1,-1.3,0.4,2018
Jeremy Lamb,SG,25.0,80.0,1967.0,17.0,0.559,15.4,8.9,1.4,1.5,9.1,22.4,3.0,1.9,4.9,0.12,1.3,0.2,1.6,1.8,2018
Josh Jackson,SF,20.0,77.0,1959.0,11.8,0.48,10.1,9.6,1.4,2.0,12.2,26.0,-2.0,1.2,-0.7,-0.018,-2.8,-1.4,-4.2,-1.1,2018
Marco Belinelli,SG,31.0,80.0,1947.0,14.1,0.581,11.9,4.3,0.5,1.6,10.1,20.7,2.4,1.3,3.7,0.092,0.4,-0.8,-0.5,0.8,2018
Marco Belinelli,SG,31.0,52.0,1210.0,14.1,0.554,13.5,4.6,0.2,1.9,9.2,21.2,1.3,0.6,1.9,0.075,0.6,-0.8,-0.2,0.5,2018
Marco Belinelli,SG,31.0,28.0,737.0,14.2,0.628,9.3,3.7,1.0,1.3,11.7,19.8,1.1,0.7,1.8,0.119,0.0,-0.8,-0.8,0.2,2018
Darius Miller,SF,27.0,82.0,1944.0,9.3,0.617,7.5,4.6,0.7,0.7,10.1,12.8,2.1,0.9,3.0,0.075,-1.1,-0.8,-1.9,0.1,2018
James Johnson,PF,30.0,73.0,1943.0,15.8,0.575,22.5,10.3,2.2,1.8,17.1,19.1,2.2,2.8,5.0,0.123,0.0,1.6,1.6,1.7,2018
Kyrie Irving,PG,25.0,60.0,1931.0,25.0,0.61,30.7,6.4,0.7,1.7,10.4,31.0,6.3,2.7,8.9,0.222,6.4,0.9,7.3,4.5,2018
Rondae Hollis-Jefferson,SF,23.0,68.0,1920.0,16.9,0.548,14.2,12.7,1.9,1.6,12.3,22.2,2.1,2.0,4.1,0.103,-0.3,0.4,0.1,1.0,2018
Joel Embiid,C,23.0,63.0,1912.0,22.9,0.573,18.0,19.4,4.8,1.0,15.6,33.4,2.3,3.8,6.2,0.155,2.0,1.3,3.3,2.6,2018
Aaron Gordon,PF,22.0,58.0,1909.0,16.5,0.53,11.7,13.2,1.9,1.5,10.0,24.7,0.9,2.0,2.9,0.072,0.9,-0.6,0.3,1.1,2018
Dirk Nowitzki,C,39.0,77.0,1900.0,16.7,0.575,10.4,12.8,2.1,1.1,6.0,20.5,2.6,2.2,4.8,0.121,1.7,0.6,2.3,2.1,2018
Stanley Johnson,SF,21.0,69.0,1894.0,9.0,0.48,8.5,7.3,0.7,2.5,11.0,16.4,-0.6,2.4,1.8,0.046,-4.0,1.1,-2.9,-0.4,2018
Jordan Clarkson,SG,25.0,81.0,1888.0,16.4,0.542,19.3,6.2,0.3,1.5,10.9,26.5,1.9,1.2,3.0,0.077,1.5,-1.4,0.1,1.0,2018
Jordan Clarkson,SG,25.0,53.0,1256.0,16.9,0.532,22.9,6.7,0.2,1.5,11.6,27.7,1.1,1.0,2.1,0.08,1.9,-1.1,0.8,0.9,2018
Jordan Clarkson,SG,25.0,28.0,632.0,15.4,0.565,12.0,5.1,0.4,1.5,9.3,24.1,0.8,0.2,1.0,0.073,0.5,-1.8,-1.3,0.1,2018
Tim Hardaway Jr.,SG,25.0,57.0,1885.0,14.4,0.533,12.7,6.6,0.5,1.6,9.0,23.8,1.6,1.1,2.6,0.067,0.5,-1.1,-0.6,0.7,2018
Devin Booker,SG,21.0,54.0,1865.0,18.1,0.561,24.4,7.0,0.6,1.2,13.9,31.7,1.9,0.6,2.4,0.063,2.9,-2.0,0.9,1.4,2018
Caris LeVert,SF,23.0,71.0,1864.0,14.2,0.525,26.0,7.4,0.9,2.1,15.8,22.5,0.7,1.6,2.3,0.058,-0.8,0.0,-0.8,0.6,2018
