Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Killian Hayes,PG,21.0,76.0,56.0,28.3,10.3,2.9,6.2,1.4,0.4,2.3,0.377,0.28,0.821,2023
Tyus Jones,PG,26.0,80.0,22.0,24.3,10.3,2.5,5.2,1.0,0.1,0.9,0.438,0.371,0.8,2023
Monte Morris,PG,27.0,62.0,61.0,27.3,10.3,3.4,5.3,0.7,0.2,1.0,0.48,0.382,0.831,2023
Cameron Payne,PG,28.0,48.0,15.0,20.2,10.3,2.2,4.5,0.7,0.2,1.7,0.415,0.368,0.766,2023
Reggie Jackson,PG,32.0,68.0,40.0,24.4,10.2,2.1,3.4,0.7,0.1,1.7,0.411,0.333,0.91,2023
Reggie Jackson,PG,32.0,52.0,38.0,25.7,10.9,2.2,3.5,0.7,0.1,1.8,0.418,0.35,0.924,2023
Malaki Branham,SG,19.0,66.0,32.0,23.5,10.2,2.7,1.9,0.5,0.1,1.2,0.44,0.302,0.829,2023
Doug McDermott,SF,31.0,64.0,0.0,20.5,10.2,2.2,1.4,0.2,0.1,0.9,0.457,0.413,0.757,2023
Patrick Williams,PF,21.0,82.0,65.0,28.3,10.2,4.0,1.2,0.9,0.9,1.2,0.464,0.415,0.857,2023
Josh Richardson,SG,29.0,65.0,10.0,23.5,10.1,2.7,2.7,1.1,0.3,1.3,0.431,0.365,0.852,2023
Josh Richardson,SG,29.0,42.0,6.0,23.7,11.5,2.8,3.3,1.0,0.3,1.5,0.436,0.357,0.883,2023
Josh Richardson,SG,29.0,23.0,4.0,23.2,7.5,2.4,1.6,1.3,0.4,1.0,0.419,0.384,0.762,2023
De'Anthony Melton,SG,24.0,77.0,58.0,27.9,10.1,4.1,2.6,1.6,0.5,1.3,0.425,0.39,0.793,2023
Aaron Nesmith,SF,23.0,73.0,60.0,24.9,10.1,3.8,1.3,0.8,0.5,1.0,0.427,0.366,0.838,2023
James Wiseman,C,21.0,45.0,22.0,19.3,10.0,5.9,0.7,0.2,0.6,1.1,0.558,0.2,0.701,2023
James Wiseman,C,21.0,21.0,0.0,12.5,6.9,3.5,0.7,0.1,0.3,0.7,0.628,0.5,0.684,2023
James Wiseman,C,21.0,24.0,22.0,25.2,12.7,8.1,0.7,0.2,0.8,1.5,0.531,0.167,0.712,2023
Brandon Clarke,PF,26.0,56.0,8.0,19.5,10.0,5.5,1.3,0.6,0.7,1.0,0.656,0.167,0.723,2023
Jonathan Kuminga,PF,20.0,67.0,16.0,20.8,9.9,3.4,1.9,0.6,0.5,1.4,0.525,0.37,0.652,2023
Onyeka Okongwu,C,22.0,80.0,18.0,23.1,9.9,7.2,1.0,0.7,1.3,1.0,0.638,0.308,0.781,2023
Shaedon Sharpe,SG,19.0,80.0,15.0,22.2,9.9,3.0,1.2,0.5,0.3,1.0,0.472,0.36,0.714,2023
Jalen Suggs,SG,21.0,53.0,19.0,23.5,9.9,3.0,2.9,1.3,0.5,1.8,0.419,0.327,0.723,2023
