Player,season,cluster_kmeans,archetype,silhouette_val,PC1,PC2,PER,TS_pct,BPM,VORP,ast_pct,reb_pct,blk_pct,stl_pct,tov_pct
Alex Len,2020,5,Utility Bench,0.20468406147323528,1.2963727718501261,-1.8416525989969723,17.5,0.59,-0.4,0.3,8.7,16.6,3.7,1.3,11.7
Alex Len,2021,5,Utility Bench,0.284414055788436,1.7137640923168636,-2.5661061085002173,16.4,0.643,-0.1,0.5,7.0,14.1,5.6,0.9,14.3
Alex Len,2021,5,Utility Bench,0.284414055788436,1.7137640923168636,-2.5661061085002173,16.4,0.643,-0.1,0.5,7.0,14.1,5.6,0.9,14.3
Alex Len,2021,5,Utility Bench,0.29642057000926514,1.9050678897653472,-2.511704491247023,17.5,0.643,0.2,0.5,7.2,14.6,5.4,1.0,12.9
Alex Len,2021,5,Utility Bench,0.29642057000926514,1.9050678897653472,-2.511704491247023,17.5,0.643,0.2,0.5,7.2,14.6,5.4,1.0,12.9
Alex Len,2022,5,Utility Bench,0.03511773356787473,-0.07220582569185945,-1.5631531089627355,13.1,0.577,-2.9,-0.1,10.6,14.1,3.5,1.0,17.4
Alex Len,2023,5,Utility Bench,0.17120626005484438,0.5839032513595482,-2.540927713951977,12.8,0.58,-4.0,-0.1,9.3,21.3,6.0,1.2,30.2
Alex Len,2024,5,Utility Bench,0.2683674868070338,1.85266701230855,-2.1003241704096034,14.7,0.625,0.2,0.2,14.4,16.1,6.8,1.2,22.0
Alex Poythress,2018,4,Stretch Big,0.2112302733614314,-2.3890457474860676,-0.9209613041941563,7.8,0.5,-5.1,-0.1,2.6,9.2,0.9,1.4,7.1
Alex Poythress,2019,2,Defensive Anchor,0.10932028244280555,-0.6089738934853961,-1.9206961923558696,12.2,0.571,-3.5,-0.1,7.7,13.1,2.8,0.6,12.2
Alexis Ajinça,2016,5,Utility Bench,-0.04822897813689682,-0.6099770542933054,-2.1623013433749514,13.8,0.514,-4.0,-0.4,5.8,17.3,3.4,1.1,13.6
Alexis Ajinça,2017,5,Utility Bench,-0.0872435672190157,-0.5104163244842269,-1.751707083057547,12.9,0.529,-3.3,-0.2,3.1,16.0,3.1,1.7,13.7
