rank,Player,archetype,Age,salary,salary_pct_cap,PER_predicted,PTS_predicted,WS_predicted,output_score,salary_score,age_factor,archetype_bonus,trade_value,tv_tier
1723,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.457594526280888,6.88689916405658,1.7377650343672473,0.2753153397070916,1.0,0.93,0.1,-15.08747297132294,Overvalued
1724,Royce O'Neale,Defensive Anchor,30.0,1000000.0,0.0073518059711368,10.457594526280888,6.88689916405658,1.7377650343672473,0.2753153397070916,1.0,0.93,0.1,-15.08747297132294,Overvalued
1725,Bojan Bogdanović,Stretch Big,34.0,1000000.0,0.0073518059711368,12.586387166125927,14.540531992956154,0.8061591233526277,0.3905106403282465,1.0,0.75,0.02,-15.629754915774589,Overvalued
1726,Bojan Bogdanović,Stretch Big,34.0,1000000.0,0.0073518059711368,12.586387166125927,14.540531992956154,0.8061591233526277,0.3905106403282465,1.0,0.75,0.02,-15.629754915774589,Overvalued
1727,Bojan Bogdanović,Stretch Big,34.0,1000000.0,0.0073518059711368,12.586387166125927,14.540531992956154,0.8061591233526277,0.3905106403282465,1.0,0.75,0.02,-15.629754915774589,Overvalued
1728,Bojan Bogdanović,Stretch Big,34.0,1000000.0,0.0073518059711368,12.586387166125927,14.540531992956154,0.8061591233526277,0.3905106403282465,1.0,0.75,0.02,-15.629754915774589,Overvalued
1729,Bojan Bogdanović,Stretch Big,34.0,1000000.0,0.0073518059711368,12.586387166125927,14.540531992956154,0.8061591233526277,0.3905106403282465,1.0,0.75,0.02,-15.629754915774589,Overvalued
1730,Bojan Bogdanović,Stretch Big,34.0,1000000.0,0.0073518059711368,12.586387166125927,14.540531992956154,0.8061591233526277,0.3905106403282465,1.0,0.75,0.02,-15.629754915774589,Overvalued
1731,Bojan Bogdanović,Stretch Big,34.0,1000000.0,0.0073518059711368,12.586387166125927,14.540531992956154,0.8061591233526277,0.3905106403282465,1.0,0.75,0.02,-15.629754915774589,Overvalued
1732,Bojan Bogdanović,Stretch Big,34.0,1000000.0,0.0073518059711368,12.586387166125927,14.540531992956154,0.8061591233526277,0.3905106403282465,1.0,0.75,0.02,-15.629754915774589,Overvalued
1733,Bojan Bogdanović,Stretch Big,34.0,1000000.0,0.0073518059711368,12.586387166125927,14.540531992956154,0.8061591233526277,0.3905106403282465,1.0,0.75,0.02,-15.629754915774589,Overvalued
1734,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.295851906586805,5.639976163370813,0.719002667987714,0.2374595005507253,1.0,1.0,0.03,-15.712499906364158,Overvalued
1735,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.295851906586805,5.639976163370813,0.719002667987714,0.2374595005507253,1.0,1.0,0.03,-15.712499906364158,Overvalued
1736,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.295851906586805,5.639976163370813,0.719002667987714,0.2374595005507253,1.0,1.0,0.03,-15.712499906364158,Overvalued
1737,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.295851906586805,5.639976163370813,0.719002667987714,0.2374595005507253,1.0,1.0,0.03,-15.712499906364158,Overvalued
1738,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.295851906586805,5.639976163370813,0.719002667987714,0.2374595005507253,1.0,1.0,0.03,-15.712499906364158,Overvalued
1739,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.295851906586805,5.639976163370813,0.719002667987714,0.2374595005507253,1.0,1.0,0.03,-15.712499906364158,Overvalued
1740,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.295851906586805,5.639976163370813,0.719002667987714,0.2374595005507253,1.0,1.0,0.03,-15.712499906364158,Overvalued
1741,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.295851906586805,5.639976163370813,0.719002667987714,0.2374595005507253,1.0,1.0,0.03,-15.712499906364158,Overvalued
1742,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.295851906586805,5.639976163370813,0.719002667987714,0.2374595005507253,1.0,1.0,0.03,-15.712499906364158,Overvalued
1743,Ochai Agbaji,Stretch Big,23.0,1000000.0,0.0073518059711368,8.953003618377412,5.7970660859407825,0.6800117755231903,0.17643059947964337,1.0,1.1,0.02,-16.011237572901198,Overvalued
1744,Ochai Agbaji,Stretch Big,23.0,1000000.0,0.0073518059711368,8.953003618377412,5.7970660859407825,0.6800117755231903,0.17643059947964337,1.0,1.1,0.02,-16.011237572901198,Overvalued
1745,Ochai Agbaji,Stretch Big,23.0,1000000.0,0.0073518059711368,8.953003618377412,5.7970660859407825,0.6800117755231903,0.17643059947964337,1.0,1.1,0.02,-16.011237572901198,Overvalued
1746,Ochai Agbaji,Stretch Big,23.0,1000000.0,0.0073518059711368,8.953003618377412,5.7970660859407825,0.6800117755231903,0.17643059947964337,1.0,1.1,0.02,-16.011237572901198,Overvalued
1747,Ochai Agbaji,Stretch Big,23.0,1000000.0,0.0073518059711368,8.953003618377412,5.7970660859407825,0.6800117755231903,0.17643059947964337,1.0,1.1,0.02,-16.011237572901198,Overvalued
1748,Ochai Agbaji,Stretch Big,23.0,1000000.0,0.0073518059711368,8.953003618377412,5.7970660859407825,0.6800117755231903,0.17643059947964337,1.0,1.1,0.02,-16.011237572901198,Overvalued
1749,Ochai Agbaji,Stretch Big,23.0,1000000.0,0.0073518059711368,8.953003618377412,5.7970660859407825,0.6800117755231903,0.17643059947964337,1.0,1.1,0.02,-16.011237572901198,Overvalued
1750,Ochai Agbaji,Stretch Big,23.0,1000000.0,0.0073518059711368,8.953003618377412,5.7970660859407825,0.6800117755231903,0.17643059947964337,1.0,1.1,0.02,-16.011237572901198,Overvalued
